date,price_usd,unit,basis,source,reconstructed
2024-05-25,3.02,lb,wholesale,,true
2024-06-01,3.02,lb,wholesale,,true
2024-06-08,3.05,lb,wholesale,,true
2024-06-15,3.07,lb,wholesale,,true
2024-06-22,3.08,lb,wholesale,,true
2024-06-29,3.10,lb,wholesale,,true
2024-07-06,3.12,lb,wholesale,,true
2024-07-13,3.13,lb,wholesale,,true
2024-07-20,3.13,lb,wholesale,,true
2024-07-27,3.13,lb,wholesale,,true
2024-08-03,3.13,lb,wholesale,,true
2024-08-10,3.12,lb,wholesale,,true
2024-08-17,3.12,lb,wholesale,,true
2024-08-24,3.10,lb,wholesale,,true
2024-08-31,3.11,lb,wholesale,,true
2024-09-07,3.11,lb,wholesale,,true
2024-09-14,3.14,lb,wholesale,,true
2024-09-21,3.17,lb,wholesale,,true
2024-09-28,3.17,lb,wholesale,,true
2024-10-05,3.17,lb,wholesale,,true
2024-10-12,3.08,lb,wholesale,,true
2024-10-19,2.90,lb,wholesale,,true
2024-10-26,2.74,lb,wholesale,,true
2024-11-02,2.71,lb,wholesale,,true
2024-11-09,2.71,lb,wholesale,,true
2024-11-16,2.71,lb,wholesale,,true
2024-11-23,2.71,lb,wholesale,,true
2024-11-30,2.71,lb,wholesale,,true
2024-12-07,2.68,lb,wholesale,,true
2024-12-14,2.65,lb,wholesale,,true
2024-12-21,2.60,lb,wholesale,,true
2024-12-28,2.59,lb,wholesale,,true
2025-01-04,2.59,lb,wholesale,,true
2025-01-11,2.59,lb,wholesale,,true
2025-01-18,2.60,lb,wholesale,,true
2025-01-25,2.60,lb,wholesale,,true
2025-02-01,2.60,lb,wholesale,,true
2025-02-08,2.60,lb,wholesale,,true
2025-02-15,2.57,lb,wholesale,,true
2025-02-22,2.54,lb,wholesale,,true
2025-03-01,2.50,lb,wholesale,,true
2025-03-08,2.50,lb,wholesale,,true
2025-03-15,2.46,lb,wholesale,,true
2025-03-22,2.35,lb,wholesale,,true
2025-03-29,2.34,lb,wholesale,,true
2025-04-05,2.34,lb,wholesale,,true
2025-04-12,2.34,lb,wholesale,,true
2025-04-19,2.34,lb,wholesale,,true
2025-04-26,2.34,lb,wholesale,,true
2025-05-03,2.35,lb,wholesale,,true
2025-05-10,2.35,lb,wholesale,,true
2025-05-17,2.35,lb,wholesale,,true
2025-05-24,2.35,lb,wholesale,,true
2025-05-31,2.36,lb,wholesale,,true
2025-06-07,2.36,lb,wholesale,,true
2025-06-14,2.41,lb,wholesale,,true
2025-06-21,2.45,lb,wholesale,,true
2025-06-28,2.48,lb,wholesale,,true
2025-07-05,2.51,lb,wholesale,,true
2025-07-12,2.53,lb,wholesale,,true
2025-07-19,2.57,lb,wholesale,,true
2025-07-26,2.57,lb,wholesale,,true
2025-08-02,2.57,lb,wholesale,,true
2025-08-09,2.55,lb,wholesale,,true
2025-08-16,2.53,lb,wholesale,,true
2025-08-23,2.52,lb,wholesale,,true
2025-08-30,2.49,lb,wholesale,,true
2025-09-06,2.44,lb,wholesale,,true
2025-09-13,2.39,lb,wholesale,,true
2025-09-20,2.27,lb,wholesale,,true
2025-09-27,2.14,lb,wholesale,,true
2025-10-04,1.98,lb,wholesale,,true
2025-10-11,1.90,lb,wholesale,,true
2025-10-18,1.80,lb,wholesale,,true
2025-10-25,1.77,lb,wholesale,,true
2025-11-01,1.75,lb,wholesale,,true
2025-11-08,1.70,lb,wholesale,,true
2025-11-15,1.67,lb,wholesale,,true
2025-11-22,1.66,lb,wholesale,,true
2025-11-29,1.64,lb,wholesale,,true
2025-12-06,1.64,lb,wholesale,,true
2025-12-13,1.60,lb,wholesale,,true
2025-12-20,1.60,lb,wholesale,,true
2025-12-27,1.53,lb,wholesale,,true
2026-01-03,1.52,lb,wholesale,,true
2026-01-10,1.49,lb,wholesale,,true
2026-01-17,1.43,lb,wholesale,,true
2026-01-24,1.42,lb,wholesale,,true
2026-01-31,1.42,lb,wholesale,,true
2026-02-07,1.42,lb,wholesale,,true
2026-02-14,1.50,lb,wholesale,,true
2026-02-21,1.58,lb,wholesale,,true
2026-02-28,1.64,lb,wholesale,,true
2026-03-07,1.67,lb,wholesale,,true
2026-03-14,1.82,lb,wholesale,,true
2026-03-21,1.86,lb,wholesale,,true
2026-03-28,1.89,lb,wholesale,,true
2026-04-04,1.89,lb,wholesale,,true
2026-04-11,1.89,lb,wholesale,,true
2026-04-18,1.81,lb,wholesale,usda-lmr,false
2026-04-25,1.77,lb,wholesale,usda-lmr,false
2026-05-02,1.75,lb,wholesale,usda-lmr,false
2026-05-09,1.75,lb,wholesale,usda-lmr,false
2026-05-16,1.71,lb,wholesale,usda-lmr,false
2026-05-23,1.68,lb,wholesale,usda-lmr,false
2026-05-30,1.62,lb,wholesale,usda-lmr,false
2026-06-06,1.61,lb,wholesale,usda-lmr,false
2026-06-13,1.61,lb,wholesale,usda-lmr,false
2026-06-20,1.61,lb,wholesale,usda-lmr,false
2026-06-27,1.61,lb,wholesale,usda-lmr,false
2026-07-04,1.61,lb,wholesale,usda-lmr,false
